reward_mode,lambda,seed,episode,epsilon,steps,return,success,wall_hits,penalty_entries,door_attempts,key_picked,termination_reason
shaped,0.0,81150,17,0.918316468354365,500,-1798.5499999999956,False,182,13,0,False,energy_depleted
shaped,0.0,81150,18,0.9137248860125932,500,-1555.100000000002,False,169,14,0,True,energy_depleted
shaped,0.0,81150,19,0.9091562615825302,500,-1112.9500000000003,False,124,5,0,True,energy_depleted
shaped,0.0,81150,20,0.9046104802746175,500,-1330.2250000000017,False,131,5,3,False,energy_depleted
shaped,0.0,81150,21,0.9000874278732445,500,-1257.274999999998,False,109,11,0,False,energy_depleted
shaped,0.0,81150,22,0.8955869907338783,500,-1093.9249999999986,False,124,11,0,True,energy_depleted
shaped,0.0,81150,23,0.8911090557802088,500,-1391.7749999999965,False,141,5,0,False,energy_depleted
shaped,0.0,81150,24,0.8866535105013078,500,-1170.8749999999984,False,106,8,0,False,energy_depleted
shaped,0.0,81150,25,0.8822202429488012,500,-1441.8249999999957,False,144,17,0,True,energy_depleted
shaped,0.0,81150,26,0.8778091417340572,500,-1212.6499999999996,False,124,16,0,True,energy_depleted
shaped,0.0,81150,27,0.873420096025387,500,-964.4999999999992,False,105,7,0,True,energy_depleted
shaped,0.0,81150,28,0.86905299554526,500,-1335.9499999999969,False,131,6,0,False,energy_depleted
shaped,0.0,81150,29,0.8647077305675337,500,-1556.174999999996,False,163,29,0,True,energy_depleted
shaped,0.0,81150,30,0.8603841919146961,500,-1271.2500000000005,False,137,13,0,True,energy_depleted
shaped,0.0,81150,31,0.8560822709551226,500,-1331.9499999999985,False,124,10,0,False,energy_depleted
shaped,0.0,81150,32,0.8518018596003469,500,-1512.9500000000014,False,173,12,0,True,energy_depleted
shaped,0.0,81150,33,0.8475428503023452,500,-1049.975,False,99,1,0,False,energy_depleted
shaped,0.0,81150,34,0.8433051360508335,500,-1567.8999999999987,False,150,13,0,False,energy_depleted
shaped,0.0,81150,35,0.8390886103705792,500,-1760.5499999999981,False,176,15,0,False,energy_depleted
shaped,0.0,81150,36,0.8348931673187264,500,-1511.7499999999968,False,149,9,0,False,energy_depleted
shaped,0.0,81150,37,0.8307187014821328,500,-1200.1749999999984,False,110,6,0,False,energy_depleted
shaped,0.0,81150,38,0.826565107974722,500,-1754.7999999999968,False,196,8,0,True,energy_depleted
shaped,0.0,81150,39,0.8224322824348484,500,-1323.774999999997,False,115,14,0,False,energy_depleted
shaped,0.0,81150,40,0.8183201210226743,500,-925.7249999999998,False,85,1,0,False,energy_depleted
shaped,0.0,81150,41,0.8142285204175609,500,-1522.849999999998,False,157,4,0,False,energy_depleted
shaped,0.0,81150,42,0.810157377815473,500,-1314.3749999999973,False,126,7,0,False,energy_depleted
shaped,0.0,81150,43,0.8061065909263957,500,-1038.7249999999992,False,114,10,0,True,energy_depleted
shaped,0.0,81150,44,0.8020760579717637,500,-1536.6749999999968,False,145,12,0,False,energy_depleted
shaped,0.0,81150,45,0.7980656776819048,500,-1479.2750000000028,False,171,10,0,True,energy_depleted
shaped,0.0,81150,46,0.7940753492934953,500,-1410.574999999999,False,148,21,0,True,energy_depleted
shaped,0.0,81150,47,0.7901049725470278,500,-1035.5499999999993,False,132,2,0,True,energy_depleted
shaped,0.0,81150,48,0.7861544476842928,500,-1289.2249999999979,False,110,14,0,False,energy_depleted
shaped,0.0,81150,49,0.7822236754458712,500,-1347.675000000003,False,152,9,0,True,energy_depleted
shaped,0.3,8565,0,1.0,500,-913.9499999999992,False,75,6,0,False,energy_depleted
shaped,0.3,8565,1,0.995,285,-492.14999999999975,True,77,4,0,True,goal_reached
shaped,0.3,8565,2,0.990025,500,-1216.9000000000005,False,124,10,0,True,energy_depleted
shaped,0.3,8565,3,0.985074875,500,-1602.8499999999995,False,165,13,0,True,energy_depleted
